# Proposed default capacities for jazzy interface packages over rmw_tickle (TickLE Plan, 2026-09-24).
# Research seed for the shipped per-package capacity files (rmw_tickle/PLAN.md, standard-message
# milestone). Validated by p2_apply_capacities.py, which annotates copies of the .msg/.srv files
# and runs the real generator front end over them.
#
# Budget: 1444 B per message (tt_MAX_BUFFER_LENGTH 1472 - 28 framing). A plain string counts as its
# 2-byte prefix only; rules below reserve ~24-40 B per string in practice, by choosing counts with
# that much slack.
#
# Rules, in the order they were applied:
#   parallel   - arrays ROS defines to be the same length share one count (JointState, LaserScan,
#                JointTrajectoryPoint, ...)
#   structural - descriptor arrays that are small by nature (MultiArrayLayout.dim, PointCloud2.fields,
#                CameraInfo.d)
#   payload    - the message's main data array takes what is left, rounded down
#   element    - a type used as an array element elsewhere keeps its own arrays small, because a
#                capacity is global per type and every container pays for it
#   rcl        - rcl_interfaces keeps the values already in rcl_interfaces_rmw_tickle.patch (CI-proven)
#
# type	field	capacity	rule	note
std_msgs/msg/MultiArrayLayout	dim	4	structural	up to 4-D
std_msgs/msg/ByteMultiArray	data	1280	payload
std_msgs/msg/Int8MultiArray	data	1280	payload
std_msgs/msg/UInt8MultiArray	data	1280	payload
std_msgs/msg/Int16MultiArray	data	640	payload
std_msgs/msg/UInt16MultiArray	data	640	payload
std_msgs/msg/Int32MultiArray	data	320	payload
std_msgs/msg/UInt32MultiArray	data	320	payload
std_msgs/msg/Float32MultiArray	data	320	payload
std_msgs/msg/Int64MultiArray	data	160	payload
std_msgs/msg/UInt64MultiArray	data	160	payload
std_msgs/msg/Float64MultiArray	data	160	payload
example_interfaces/msg/MultiArrayLayout	dim	4	structural	mirrors std_msgs
example_interfaces/msg/ByteMultiArray	data	1280	payload
example_interfaces/msg/Int8MultiArray	data	1280	payload
example_interfaces/msg/UInt8MultiArray	data	1280	payload
example_interfaces/msg/Int16MultiArray	data	640	payload
example_interfaces/msg/UInt16MultiArray	data	640	payload
example_interfaces/msg/Int32MultiArray	data	320	payload
example_interfaces/msg/UInt32MultiArray	data	320	payload
example_interfaces/msg/Float32MultiArray	data	320	payload
example_interfaces/msg/Int64MultiArray	data	160	payload
example_interfaces/msg/UInt64MultiArray	data	160	payload
example_interfaces/msg/Float64MultiArray	data	160	payload
geometry_msgs/msg/PoseArray	poses	24	payload	Pose is 56 B
nav_msgs/msg/Goals	goals	16	payload
nav_msgs/msg/GridCells	cells	44	payload	Point is 24 B; 44 under max_wire_size's conservative per-element padding
nav_msgs/msg/OccupancyGrid	data	1280	payload	about 36x35 cells - PRACTICALLY TOO SMALL
nav_msgs/msg/Path	poses	16	payload
nav_msgs/msg/Trajectory	points	4	payload	TrajectoryPoint is ~260 B
actionlib_msgs/msg/GoalStatusArray	status_list	16	payload
composition_interfaces/srv/ListNodes	full_node_names	16	parallel
composition_interfaces/srv/ListNodes	unique_ids	16	parallel
composition_interfaces/srv/LoadNode	remap_rules	8	structural
composition_interfaces/srv/LoadNode	parameters	4	element
composition_interfaces/srv/LoadNode	extra_arguments	4	element
diagnostic_msgs/msg/DiagnosticStatus	values	8	element	KeyValue is two strings
diagnostic_msgs/msg/DiagnosticArray	status	4	payload
diagnostic_msgs/srv/SelfTest	status	4	payload
lifecycle_msgs/srv/GetAvailableStates	available_states	16	payload
lifecycle_msgs/srv/GetAvailableTransitions	available_transitions	16	payload
rcl_interfaces/msg/ListParametersResult	names	8	rcl
rcl_interfaces/msg/ListParametersResult	prefixes	8	rcl
rcl_interfaces/msg/ParameterEvent	new_parameters	1	rcl
rcl_interfaces/msg/ParameterEvent	changed_parameters	1	rcl
rcl_interfaces/msg/ParameterEvent	deleted_parameters	1	rcl
rcl_interfaces/msg/ParameterEventDescriptors	new_parameters	4	rcl
rcl_interfaces/msg/ParameterEventDescriptors	changed_parameters	4	rcl
rcl_interfaces/msg/ParameterEventDescriptors	deleted_parameters	4	rcl
rcl_interfaces/msg/ParameterValue	byte_array_value	1	rcl
rcl_interfaces/msg/ParameterValue	bool_array_value	1	rcl
rcl_interfaces/msg/ParameterValue	integer_array_value	1	rcl
rcl_interfaces/msg/ParameterValue	double_array_value	1	rcl
rcl_interfaces/msg/ParameterValue	string_array_value	1	rcl
rcl_interfaces/srv/DescribeParameters	names	8	rcl
rcl_interfaces/srv/DescribeParameters	descriptors	8	rcl
rcl_interfaces/srv/GetLoggerLevels	names	8	rcl
rcl_interfaces/srv/GetLoggerLevels	levels	8	rcl
rcl_interfaces/srv/GetParameterTypes	names	8	rcl
rcl_interfaces/srv/GetParameters	names	8	rcl
rcl_interfaces/srv/GetParameters	values	8	rcl
rcl_interfaces/srv/ListParameters	prefixes	8	rcl
rcl_interfaces/srv/SetLoggerLevels	levels	8	rcl
rcl_interfaces/srv/SetLoggerLevels	results	8	rcl
rcl_interfaces/srv/SetParameters	parameters	8	rcl
rcl_interfaces/srv/SetParameters	results	8	rcl
rcl_interfaces/srv/SetParametersAtomically	parameters	8	rcl
rosgraph_msgs/msg/Node	parameters	2	element	graph tooling - PRACTICALLY TOO SMALL
rosgraph_msgs/msg/Node	parameter_values	2	element
rosgraph_msgs/msg/Node	publishers	4	element
rosgraph_msgs/msg/Node	subscriptions	4	element
rosgraph_msgs/msg/Node	service_clients	2	element
rosgraph_msgs/msg/Node	service_servers	2	element
rosgraph_msgs/msg/Node	action_clients	1	element
rosgraph_msgs/msg/Node	action_servers	1	element
rosgraph_msgs/msg/Graph	nodes	1	payload	graph tooling - PRACTICALLY TOO SMALL
sensor_msgs/msg/BatteryState	cell_voltage	64	parallel
sensor_msgs/msg/BatteryState	cell_temperature	64	parallel
sensor_msgs/msg/CameraInfo	d	8	structural	plumb_bob 5, rational_polynomial 8
sensor_msgs/msg/ChannelFloat32	values	64	parallel	one per PointCloud point
sensor_msgs/msg/CompressedImage	data	1344	payload	PRACTICALLY TOO SMALL
sensor_msgs/msg/Image	data	1344	payload	PRACTICALLY TOO SMALL
sensor_msgs/msg/JointState	name	24	parallel
sensor_msgs/msg/JointState	position	24	parallel
sensor_msgs/msg/JointState	velocity	24	parallel
